年,月,日,時,気温(℃),風速(m/s),風速(m/s),降水量(mm),降水量(mm)
2018,9,22,18,23.1,1.5,北東,0,1
2018,9,22,19,22.2,0.9,東南東,0,1
2018,9,22,20,21.8,0.8,南東,0,1
2018,9,22,21,21.6,0.6,北北東,0,1
2018,9,22,22,21.5,1.3,北北東,0,1
2018,9,22,23,21.9,1.3,北北東,0,1
2018,9,22,24,22.4,1.3,北北東,0,1
2018,9,23,1,22.5,1.5,東北東,0,1
2018,9,23,2,22.1,2.1,北北東,0,1
2018,9,23,3,21.8,1.0,北東,0,1
2018,9,23,4,22.1,1.5,北東,0,1
2018,9,23,5,22.3,1.4,北東,0,1
2018,9,23,6,22.4,1.3,北北東,0.0,0
2018,9,23,7,23.2,2.1,東北東,0.0,0
2018,9,23,8,23.8,2.2,東南東,0,1
2018,9,23,9,24.5,2.0,東北東,0,1
2018,9,23,10,26.0,1.5,南東,0,1
2018,9,23,11,27.2,2.4,南南東,0,1
2018,9,23,12,28.4,2.0,東北東,0,1
2018,9,23,13,27.8,3.2,南東,0,1
2018,9,23,14,27.0,3.0,南南東,0,1
2018,9,23,15,27.3,3.5,南南東,0,1
2018,9,23,16,26.6,5.1,南南東,0,1
2018,9,23,17,25.6,5.3,南南東,0,1
2018,9,23,18,24.9,4.9,南東,0,1
2018,9,23,19,24.7,2.6,東南東,0,1
2018,9,23,20,24.3,1.8,南東,0.0,0
2018,9,23,21,23.4,1.9,東南東,0,1
2018,9,23,22,23.3,1.6,南東,0,1
2018,9,23,23,22.8,0.6,東南東,0,1
2018,9,23,24,22.8,1.7,東北東,0,1
2018,9,24,1,23.4,1.5,北,0,1
2018,9,24,2,23.2,1.5,北北西,0,1
2018,9,24,3,22.7,1.1,北,0,1
2018,9,24,4,22.6,1.9,北北東,0,1
2018,9,24,5,22.9,2.8,北北東,0.0,0
2018,9,24,6,22.4,1.9,北,0.0,0
2018,9,24,7,21.6,2.1,北北西,1.5,0
2018,9,24,8,21.8,2.8,北北西,0.0,0
2018,9,24,9,22.6,3.3,北西,0,1
2018,9,24,10,23.8,2.6,北北西,0,1
2018,9,24,11,25.7,2.7,北西,0,1
2018,9,24,12,26.6,2.3,北東,0,1
2018,9,24,13,27.0,1.2,南東,0,1
2018,9,24,14,27.8,1.3,北東,0,1
2018,9,24,15,27.4,1.7,東,0,1
2018,9,24,16,27.2,1.4,東北東,0,1
2018,9,24,17,26.0,1.4,東南東,0,1
2018,9,24,18,25.6,1.5,東北東,0,1
2018,9,24,19,25.4,2.2,東,0,1
2018,9,24,20,24.9,3.4,東北東,0,1
2018,9,24,21,24.3,2.3,東北東,0,1
2018,9,24,22,23.6,2.3,東北東,0,1
2018,9,24,23,22.9,0.9,東,0,1
2018,9,24,24,23.2,2.3,東,0,1
2018,9,25,1,22.5,1.0,東南東,0,1
2018,9,25,2,22.7,0.6,東,0,1
2018,9,25,3,23.1,1.3,北,0,1
2018,9,25,4,22.6,1.7,北東,0,1
2018,9,25,5,22.5,2.2,北北東,0,1
2018,9,25,6,22.7,1.8,東北東,0,1
2018,9,25,7,23.7,1.7,東北東,0,1
2018,9,25,8,23.8,3.0,東南東,0,1
2018,9,25,9,24.8,1.9,北東,0,1
2018,9,25,10,24.2,2.5,北東,0.0,0
2018,9,25,11,23.5,3.2,北東,0.5,0
2018,9,25,12,23.4,2.9,北東,0.0,0
2018,9,25,13,21.1,3.6,北,2.5,0
2018,9,25,14,20.0,3.5,北北東,1.5,0
2018,9,25,15,19.6,3.2,北西,5.0,0
2018,9,25,16,19.2,3.7,北東,1.5,0
2018,9,25,17,18.9,2.7,東,0.5,0
2018,9,25,18,18.8,2.7,北,1.5,0
2018,9,25,19,18.9,2.6,北西,1.5,0
2018,9,25,20,19.2,2.5,北東,0.0,0
2018,9,25,21,19.2,2.4,北東,0.0,0
2018,9,25,22,19.2,3.4,北北東,0,1
2018,9,25,23,19.0,2.9,北北東,0,1
2018,9,25,24,19.0,1.6,北,0.0,0
2018,9,26,1,18.7,1.0,北,1.5,0
2018,9,26,2,18.4,2.3,北北西,1.0,0
2018,9,26,3,17.9,1.9,北北西,1.0,0
2018,9,26,4,17.8,1.9,北北西,0.0,0
2018,9,26,5,17.5,2.2,北,0.5,0
2018,9,26,6,17.3,2.2,北,0.0,0
2018,9,26,7,17.2,3.3,北北西,0.0,0
2018,9,26,8,16.9,3.9,北北西,0.0,0
2018,9,26,9,17.1,1.6,北,0.0,0
2018,9,26,10,17.3,2.7,北西,0.0,0
2018,9,26,11,18.7,2.4,北北西,0,1
2018,9,26,12,19.1,1.8,北,0,1
2018,9,26,13,19.1,2.4,北北西,0,1
2018,9,26,14,18.9,2.5,北北西,0,1
2018,9,26,15,19.4,2.5,北,0.0,0
2018,9,26,16,17.9,2.1,北,0.5,0
2018,9,26,17,17.5,2.5,北北東,2.0,0
2018,9,26,18,17.5,1.3,北北西,2.5,0
2018,9,26,19,17.5,2.6,北,3.0,0
2018,9,26,20,17.4,2.6,北,1.5,0
2018,9,26,21,17.2,2.5,北,0.0,0
2018,9,26,22,16.3,4.4,北西,6.5,0
2018,9,26,23,15.9,3.0,北北西,11.5,0
2018,9,26,24,16.2,4.0,北北西,7.0,0
2018,9,27,1,15.5,4.5,北西,6.0,0
2018,9,27,2,15.4,4.1,北北西,2.5,0
2018,9,27,3,15.2,3.9,北北西,5.0,0
2018,9,27,4,15.1,3.2,北北西,3.0,0
2018,9,27,5,14.8,2.6,北,1.5,0
2018,9,27,6,14.9,2.2,北,0.0,0
2018,9,27,7,15.4,2.4,北,0.0,0
2018,9,27,8,15.6,2.7,北北西,0.0,0
2018,9,27,9,15.7,2.9,北北西,0.0,0
2018,9,27,10,16.4,2.8,北北西,0.5,0
2018,9,27,11,16.0,2.5,北西,0.0,0
2018,9,27,12,16.4,1.4,北,0.5,0
2018,9,27,13,16.5,3.1,北西,0.0,0
2018,9,27,14,16.5,2.3,北北西,0.0,0
2018,9,27,15,16.2,3.3,北北西,0.0,0
2018,9,27,16,17.1,3.0,北北西,0,1
2018,9,27,17,17.0,2.0,北西,0,1
2018,9,27,18,16.5,3.3,北西,0,1
2018,9,27,19,16.5,2.9,北西,0,1
2018,9,27,20,16.1,2.5,北西,0,1
2018,9,27,21,16.1,3.7,西北西,0,1
2018,9,27,22,15.8,2.5,西北西,0,1
2018,9,27,23,15.5,2.1,北西,0,1
2018,9,27,24,15.3,2.2,西北西,0,1
2018,9,28,1,14.9,0.6,西南西,0,1
2018,9,28,2,14.7,0.6,南,0,1
2018,9,28,3,14.6,0.7,北西,0,1
2018,9,28,4,14.4,0.8,西南西,0,1
2018,9,28,5,14.6,1.3,北北東,0,1
2018,9,28,6,14.4,0.4,北,0,1
2018,9,28,7,15.9,1.8,北北東,0,1
2018,9,28,8,17.3,1.6,北,0,1
2018,9,28,9,19.7,2.1,北北西,0,1
2018,9,28,10,22.1,2.5,北,0,1
2018,9,28,11,23.7,3.1,北北東,0,1
2018,9,28,12,24.6,2.7,北,0,1
2018,9,28,13,25.1,2.3,東北東,0,1
2018,9,28,14,25.6,1.3,北北東,0,1
2018,9,28,15,25.3,1.1,東,0,1
2018,9,28,16,23.9,2.2,南南東,0,1
2018,9,28,17,21.4,1.4,北東,0,1
2018,9,28,18,21.4,3.6,南東,0,1
2018,9,28,19,21.7,5.5,南南東,0,1
2018,9,28,20,20.8,3.3,南南東,0,1
2018,9,28,21,20.1,2.3,南南東,0,1
2018,9,28,22,19.1,2.1,南南東,0,1
2018,9,28,23,18.5,2.5,南南東,0,1
2018,9,28,24,19.3,2.4,南東,0,1
2018,9,29,1,18.3,2.7,南南東,0,1
2018,9,29,2,18.9,2.2,南東,0,1
2018,9,29,3,19.0,2.1,南東,0,1
2018,9,29,4,18.1,0.7,東南東,0,1
2018,9,29,5,17.8,0.5,北北西,0,1
2018,9,29,6,18.8,2.6,北西,0,1
2018,9,29,7,19.1,3.0,北西,0,1
2018,9,29,8,19.4,1.8,北東,0.0,0
2018,9,29,9,20.1,2.2,北西,0.0,0
2018,9,29,10,20.9,2.7,西北西,0.0,0
2018,9,29,11,20.3,2.1,西北西,0.5,0
2018,9,29,12,19.9,2.2,西北西,0.0,0
2018,9,29,13,19.9,1.8,北西,1.5,0
2018,9,29,14,19.6,3.0,西北西,2.0,0
2018,9,29,15,19.3,2.0,西北西,1.5,0
2018,9,29,16,18.9,2.4,北西,2.5,0
2018,9,29,17,18.5,2.5,北北西,0.0,0
2018,9,29,18,18.3,2.1,北北西,0.5,0
2018,9,29,19,18.2,1.9,北北西,0.5,0
2018,9,29,20,17.8,2.0,北北西,0.0,0
2018,9,29,21,17.8,2.7,北西,0.0,0
2018,9,29,22,17.7,2.4,北北西,0.0,0
2018,9,29,23,17.5,1.7,北,0.0,0
2018,9,29,24,17.3,1.9,北北西,0.5,0
2018,9,30,1,17.0,0.8,東北東,0.0,0
2018,9,30,2,17.1,2.1,北北西,0.5,0
2018,9,30,3,17.2,1.3,北,1.5,0
2018,9,30,4,17.2,1.6,北北西,7.5,0
2018,9,30,5,17.4,2.4,北西,2.5,0
2018,9,30,6,17.5,1.9,北,2.0,0
2018,9,30,7,17.6,4.1,北西,3.0,0
2018,9,30,8,18.1,3.1,北西,1.0,0
2018,9,30,9,18.2,3.7,北西,0.0,0
2018,9,30,10,18.9,2.9,北西,0.0,0
2018,9,30,11,19.3,2.5,西北西,0,1
2018,9,30,12,20.5,1.1,西北西,0,1
2018,9,30,13,22.3,1.1,東北東,0,1
2018,9,30,14,21.6,2.1,北北西,0.0,0
2018,9,30,15,20.8,2.6,北北東,0.0,0
2018,9,30,16,20.6,1.6,北東,6.5,0
2018,9,30,17,20.2,1.1,北東,0.5,0
2018,9,30,18,20.3,1.6,東北東,0.5,0
2018,9,30,19,20.8,2.0,南南東,1.0,0
2018,9,30,20,23.9,4.3,南南東,0.0,0
2018,9,30,21,24.5,9.6,南南東,0.0,0
2018,9,30,22,26.6,8.9,南南東,0.0,0
2018,9,30,23,25.9,10.0,南南東,1.0,0
2018,9,30,24,25.0,11.5,南南東,6.5,0
2018,10,1,1,23.9,14.6,南,18.0,0
2018,10,1,2,24.6,15.3,南,0.0,0
2018,10,1,3,25.3,9.7,南南西,0.0,0
2018,10,1,4,25.3,7.1,南南西,0,1
2018,10,1,5,24.7,5.6,南,0,1
2018,10,1,6,25.3,5.7,南,0,1
2018,10,1,7,25.8,5.6,南南西,0,1
2018,10,1,8,27.1,6.1,南,0,1
2018,10,1,9,28.1,4.2,南南西,0,1
2018,10,1,10,29.2,6.1,南南西,0,1
2018,10,1,11,29.9,3.3,南,0,1
2018,10,1,12,31.4,5.0,南,0,1
2018,10,1,13,31.3,7.1,南,0,1
2018,10,1,14,31.2,4.6,南,0,1
2018,10,1,15,29.8,5.1,南南西,0,1
2018,10,1,16,28.2,5.7,南南西,0,1
2018,10,1,17,26.2,4.5,南,0,1
2018,10,1,18,25.1,5.6,南南西,0,1
2018,10,1,19,24.1,4.1,南南西,0,1
2018,10,1,20,23.7,4.6,南南西,0,1
2018,10,1,21,22.0,2.6,西南西,0,1
2018,10,1,22,21.9,3.3,北西,0,1
2018,10,1,23,20.7,2.5,北北西,0,1
2018,10,1,24,21.4,2.8,北,0,1
2018,10,2,1,20.4,3.0,西北西,0,1
2018,10,2,2,19.0,3.2,北西,0,1
2018,10,2,3,18.0,2.2,北西,0,1
2018,10,2,4,19.6,3.5,北西,0,1
2018,10,2,5,18.7,2.7,北,0,1
2018,10,2,6,17.9,1.6,北西,0,1
2018,10,2,7,19.2,3.2,北西,0,1
2018,10,2,8,21.8,3.3,北西,0,1
2018,10,2,9,23.5,1.9,北北西,0,1
2018,10,2,10,24.5,2.8,北北東,0,1
2018,10,2,11,25.1,1.8,西北西,0,1
2018,10,2,12,25.8,2.3,南,0,1
2018,10,2,13,26.4,4.1,南南東,0,1
2018,10,2,14,25.8,2.5,南南東,0,1
2018,10,2,15,25.8,3.9,南,0,1
2018,10,2,16,24.5,4.6,南南東,0,1
2018,10,2,17,24.3,4.5,南東,0,1
2018,10,2,18,24.3,4.8,南東,0,1
2018,10,2,19,23.3,4.5,南東,0,1
2018,10,2,20,22.4,3.8,南南東,0,1
2018,10,2,21,21.0,1.5,南南東,0,1
2018,10,2,22,19.3,1.4,南南東,0,1
2018,10,2,23,18.6,0.7,南西,0,1
2018,10,2,24,18.3,0.8,西北西,0,1
2018,10,3,1,19.3,3.2,西北西,0,1
2018,10,3,2,18.8,2.1,北北西,0,1
2018,10,3,3,19.0,2.6,北北西,0,1
2018,10,3,4,19.0,3.0,北西,0,1
2018,10,3,5,18.7,2.2,北北西,0,1
2018,10,3,6,19.5,2.2,北,0,1
2018,10,3,7,19.9,2.6,北北西,0,1
2018,10,3,8,20.3,3.2,北西,0,1
2018,10,3,9,20.8,3.5,北北西,0,1
2018,10,3,10,22.2,1.8,北北西,0,1
2018,10,3,11,22.9,1.4,北北西,0,1
2018,10,3,12,22.7,1.5,東北東,0,1
2018,10,3,13,22.9,2.3,東,0,1
2018,10,3,14,23.0,2.2,東南東,0,1
2018,10,3,15,23.0,2.5,東南東,0,1
2018,10,3,16,22.4,1.8,北東,0,1
2018,10,3,17,21.9,1.8,東,0,1
2018,10,3,18,21.4,2.8,北東,0,1
2018,10,3,19,21.5,3.2,東,0,1
2018,10,3,20,21.3,2.9,東南東,0,1
2018,10,3,21,20.9,3.5,東北東,0,1
2018,10,3,22,20.6,2.2,北東,0,1
2018,10,3,23,20.4,2.8,北東,0,1
2018,10,3,24,20.4,1.7,東北東,0,1
2018,10,4,1,20.1,2.8,北北東,0,1
2018,10,4,2,20.1,2.9,北北東,0,1
2018,10,4,3,19.8,2.7,北東,0,1
2018,10,4,4,19.5,2.1,北北東,0,1
2018,10,4,5,19.2,4.1,北北東,0,1
2018,10,4,6,19.5,3.5,北北東,0,1
2018,10,4,7,19.7,2.8,北北東,0,1
2018,10,4,8,20.1,3.0,北東,0,1
2018,10,4,9,20.5,3.3,北北東,0,1
2018,10,4,10,21.0,4.0,北北東,0,1
2018,10,4,11,21.0,3.3,北北東,0.0,0
2018,10,4,12,19.8,1.7,北北西,0.0,0
2018,10,4,13,19.9,1.5,北北東,0.0,0
2018,10,4,14,19.8,1.4,北北東,0.0,0
2018,10,4,15,21.0,2.1,北,0.0,0
2018,10,4,16,20.9,3.0,北東,0.0,0
2018,10,4,17,20.7,2.6,北北東,0,1
2018,10,4,18,20.7,1.5,北北東,0.0,0
2018,10,4,19,20.6,3.0,北北東,0.0,0
2018,10,4,20,19.4,1.8,北北西,0.0,0
2018,10,4,21,19.9,1.5,北,0.0,0
2018,10,4,22,20.2,2.2,北,0,1
2018,10,4,23,19.8,1.8,北北西,0,1
2018,10,4,24,19.6,1.9,北北西,0.0,0
2018,10,5,1,19.8,2.1,北,0,1
2018,10,5,2,19.7,1.8,北,0,1
2018,10,5,3,19.6,1.5,北北西,0.0,0
2018,10,5,4,19.6,2.3,北西,0,1
2018,10,5,5,18.7,2.8,北北西,0.0,0
2018,10,5,6,18.0,3.2,北北東,0.5,0
2018,10,5,7,18.0,2.0,北,0.0,0
2018,10,5,8,18.0,3.0,北北東,1.0,0
2018,10,5,9,18.1,1.6,北,0.5,0
2018,10,5,10,18.3,2.1,北,0.5,0
2018,10,5,11,18.7,2.5,北,0.0,0
2018,10,5,12,19.5,2.8,北北西,0.0,0
2018,10,5,13,19.3,2.5,北西,0.0,0
2018,10,5,14,18.7,3.1,北西,0.5,0
2018,10,5,15,18.5,2.3,北北西,0.0,0
2018,10,5,16,18.6,2.4,北北西,0.5,0
2018,10,5,17,18.6,2.7,北北西,3.5,0
2018,10,5,18,18.5,2.3,北北西,0.5,0
2018,10,5,19,18.5,2.6,北北西,0.0,0
2018,10,5,20,18.5,1.8,北北西,0.5,0
2018,10,5,21,18.5,2.6,北北西,0.5,0
2018,10,5,22,18.6,3.2,北西,1.0,0
2018,10,5,23,18.7,2.4,北西,0.0,0
2018,10,5,24,18.6,1.9,北西,0.0,0
2018,10,6,1,18.6,1.7,西北西,0,1
2018,10,6,2,18.6,2.0,西北西,0,1
2018,10,6,3,18.6,1.6,西北西,0,1
2018,10,6,4,18.6,1.4,西北西,0,1
2018,10,6,5,18.5,1.2,西北西,0,1
2018,10,6,6,18.6,1.0,北北東,0,1
2018,10,6,7,19.3,0.8,北北西,0,1
2018,10,6,8,19.9,1.5,西北西,0,1
2018,10,6,9,21.4,1.0,西,0,1
2018,10,6,10,24.2,1.3,南南東,0,1
2018,10,6,11,25.8,3.2,南東,0,1
2018,10,6,12,27.3,2.7,南南東,0,1
2018,10,6,13,28.9,5.5,南,0,1
2018,10,6,14,29.0,6.2,南,0,1
2018,10,6,15,28.5,5.0,南,0,1
2018,10,6,16,27.4,6.8,南,0,1
2018,10,6,17,26.4,6.9,南,0,1
2018,10,6,18,25.7,6.3,南,0,1
2018,10,6,19,25.4,5.2,南,0,1
2018,10,6,20,25.7,5.0,南,0,1
2018,10,6,21,25.4,5.6,南,0,1
2018,10,6,22,25.3,5.7,南,0,1
2018,10,6,23,25.6,6.4,南,0,1
2018,10,6,24,25.5,6.4,南,0,1
2018,10,7,1,25.8,7.2,南南西,0,1
2018,10,7,2,25.8,7.1,南南西,0,1
2018,10,7,3,25.8,4.6,南,0,1
2018,10,7,4,25.6,9.1,南南西,0,1
2018,10,7,5,25.5,5.3,南南西,0,1
2018,10,7,6,25.4,5.9,南南西,0,1
2018,10,7,7,26.0,5.9,南南西,0,1
2018,10,7,8,27.5,4.7,南南西,0,1
2018,10,7,9,28.7,4.0,南西,0,1
2018,10,7,10,29.9,3.1,西南西,0,1
2018,10,7,11,31.0,2.4,南南西,0,1
2018,10,7,12,31.6,3.6,北北西,0,1
2018,10,7,13,32.1,3.8,北西,0,1
2018,10,7,14,31.4,5.1,北西,0,1
2018,10,7,15,31.0,3.1,北西,0,1
2018,10,7,16,29.5,2.5,北西,0,1
2018,10,7,17,27.9,4.5,北西,0,1
2018,10,7,18,26.9,3.7,北西,0,1
2018,10,7,19,26.2,2.1,北北西,0,1
2018,10,7,20,26.7,3.9,北東,0,1
2018,10,7,21,25.4,3.4,北東,0,1
2018,10,7,22,25.2,2.9,北北東,0,1
2018,10,7,23,24.4,2.8,北東,0,1
2018,10,7,24,24.1,3.3,北北東,0,1
2018,10,8,1,23.4,2.0,東北東,0,1
2018,10,8,2,23.3,2.6,東北東,0,1
2018,10,8,3,23.1,2.7,東,0,1
2018,10,8,4,23.0,1.5,東北東,0.0,0
2018,10,8,5,22.6,2.1,東北東,0,1
2018,10,8,6,22.5,3.2,東北東,0,1
2018,10,8,7,22.5,2.4,北東,0,1
2018,10,8,8,22.6,3.1,東北東,0,1
2018,10,8,9,22.5,3.4,北北東,0,1
2018,10,8,10,22.4,4.4,北東,0,1
2018,10,8,11,22.0,4.2,北北東,0,1
2018,10,8,12,22.4,3.1,北東,0.0,0
2018,10,8,13,22.9,3.6,北北東,0,1
2018,10,8,14,22.6,2.5,北東,0,1
2018,10,8,15,22.4,2.2,東北東,0,1
2018,10,8,16,22.5,2.8,東,0,1
2018,10,8,17,21.9,2.9,東南東,0,1
2018,10,8,18,21.2,1.8,東北東,0,1
2018,10,8,19,21.0,3.5,東北東,0,1
2018,10,8,20,21.0,1.8,東南東,0,1
2018,10,8,21,19.4,2.4,北東,0,1
2018,10,8,22,20.1,1.8,北東,0,1
2018,10,8,23,20.1,1.7,北北西,0,1
2018,10,8,24,19.1,1.5,北北西,0,1
2018,10,9,1,18.8,1.3,北,0,1
2018,10,9,2,19.5,1.1,北北東,0,1
2018,10,9,3,19.8,1.1,北北西,0,1
2018,10,9,4,19.1,2.0,北西,0,1
2018,10,9,5,18.4,1.7,北北西,0,1
2018,10,9,6,18.4,1.8,北北西,0,1
2018,10,9,7,19.5,2.1,北西,0,1
2018,10,9,8,20.8,1.5,北北西,0,1
2018,10,9,9,22.2,2.1,北,0,1
2018,10,9,10,24.8,2.4,北東,0,1
2018,10,9,11,25.3,2.7,北北東,0,1
2018,10,9,12,24.6,1.6,北,0,1
2018,10,9,13,24.9,2.4,北,0,1
2018,10,9,14,25.8,2.0,北,0,1
2018,10,9,15,24.8,2.5,東,0,1
2018,10,9,16,24.6,2.6,北東,0,1
2018,10,9,17,23.3,2.6,東北東,0,1
2018,10,9,18,22.9,3.9,東北東,0,1
2018,10,9,19,22.5,2.3,東北東,0,1
2018,10,9,20,21.8,2.7,北東,0,1
2018,10,9,21,21.8,3.5,東南東,0,1
2018,10,9,22,21.3,1.8,東,0,1
2018,10,9,23,20.1,1.4,東,0,1
2018,10,9,24,19.6,1.6,北北東,0,1
2018,10,10,1,20.3,2.3,北東,0,1
2018,10,10,2,19.3,1.4,北東,0,1
2018,10,10,3,19.5,1.6,北北西,0,1
